question,scam_score,is_scam,timestamp,user_id,upvotes,category
"Someone offered me a $5000 opportunity, should I invest?",75.1179001748146,1,2025-06-17 16:13:58.922449,user_1255,5,investment
Can I really earn $1000 per day with this 30 system?,60.0,1,2024-12-23 16:13:58.922506,user_3696,5,investment
How can I make $1000 in 90 days with this no experience needed strategy?,85.88722985542148,1,2025-02-05 16:13:58.922528,user_6749,3,investment
Is this $10000 investment that promises 7% returns legitimate?,79.67179092624889,1,2025-04-05 16:13:58.922546,user_6988,4,investment
"Someone offered me a $10000 opportunity, should I invest?",80.03086264838907,1,2024-09-24 16:13:58.922562,user_6809,5,investment
Can I really earn $1000 per day with this 7 system?,83.29761564958528,1,2025-07-30 16:13:58.922578,user_6724,4,investment
"Someone offered me a $5000 opportunity, should I invest?",71.73263683181835,1,2025-09-14 16:13:58.922594,user_5865,4,investment
How can I make $5000 in 90 days with this cryptocurrency scam strategy?,71.77069191413162,1,2025-08-16 16:13:58.922609,user_5628,0,investment
Can I really earn $5000 per day with this 30 system?,93.7900201519856,1,2024-09-27 16:13:58.922624,user_2716,2,investment
"Someone offered me a quick money opportunity, should I invest?",80.04270637872993,1,2025-06-29 16:13:58.922639,user_2720,4,investment
Is this $5000 investment that promises 7% returns legitimate?,67.26394957748967,1,2025-06-28 16:13:58.922653,user_1283,1,investment
Is this $5000 investment that promises 30% returns legitimate?,76.453098505228,1,2025-03-27 16:13:58.922668,user_7061,2,investment
Is $10000 trading bot that guarantees 7% profit real?,92.76007611621058,1,2025-05-25 16:13:58.922682,user_8234,5,investment
"Someone offered me a $5000 opportunity, should I invest?",62.64596126953892,1,2025-01-01 16:13:58.922695,user_5272,1,investment
Is $5000 trading bot that guarantees 90% profit real?,65.56876194777804,1,2025-05-13 16:13:58.922709,user_5202,2,investment
How can I make $1000 in 90 days with this binary options strategy?,78.97431906270825,1,2025-09-11 16:13:58.922724,user_4781,3,investment
Is this $1000 investment that promises 7% returns legitimate?,82.90027943638151,1,2025-06-29 16:13:58.922737,user_9154,1,investment
How can I make quick money in 7 days with this risk-free strategy?,78.59088618367946,1,2025-03-09 16:13:58.922750,user_3011,1,investment
"Someone offered me a $1000 opportunity, should I invest?",64.51317612658298,1,2025-06-02 16:13:58.922764,user_1307,2,investment
Can I really earn $10000 per day with this 90 system?,72.37943770210939,1,2025-08-30 16:13:58.922777,user_5733,1,investment
Is quick money trading bot that guarantees 30% profit real?,94.93431704550268,1,2025-03-15 16:13:58.922791,user_9654,1,investment
Can I really earn $1000 per day with this 30 system?,85.96123357189734,1,2025-08-02 16:13:58.922804,user_9551,4,investment
"Someone offered me a $1000 opportunity, should I invest?",86.43337569196319,1,2025-05-15 16:13:58.922828,user_5686,2,investment
Is this $5000 investment that promises 7% returns legitimate?,95.0,1,2025-08-19 16:13:58.922842,user_7889,3,investment
Can I really earn $10000 per day with this 90 system?,86.18314533950955,1,2025-08-02 16:13:58.922856,user_3972,5,investment
Is this quick money investment that promises 30% returns legitimate?,86.98915092666697,1,2024-12-12 16:13:58.922871,user_5336,3,investment
How can I make $1000 in 90 days with this pyramid scheme strategy?,66.59018156176248,1,2025-07-01 16:13:58.922885,user_4479,3,investment
How can I make $10000 in 30 days with this risk-free strategy?,66.1081572947075,1,2025-06-12 16:13:58.922901,user_8060,4,investment
Is this $1000 investment that promises 7% returns legitimate?,86.2307167498402,1,2025-03-06 16:13:58.922915,user_1184,2,investment
How can I make $10000 in 30 days with this no experience needed strategy?,76.09052189728692,1,2025-02-22 16:13:58.922929,user_9402,5,investment
Is this $10000 investment that promises 7% returns legitimate?,79.43945912216645,1,2025-05-29 16:13:58.922942,user_1222,3,investment
